url_length,domain_length,path_length,query_length,dots,hyphens,underscores,slashes,digits,letters,special_characters,at_symbols,question_marks,equal_symbols,ampersands,percent_symbols,subdomains,https,ip_address,url_depth,entropy,tilde,comma,colon,semicolon,dollar,exclamation,plus,star,parentheses,has_port,path_segments,average_word_length,longest_word,suspicious_tld,label
23,15,0,0,3,0,0,2,0,17,6,0,0,0,0,0,2,1,0,0,3.556,0,0,1,0,0,0,0,0,0,0,0,3.4,5,0,1
27,20,0,0,3,0,0,2,7,14,6,0,0,0,0,0,2,0,0,0,3.93,0,0,1,0,0,0,0,0,0,0,0,2.8,4,0,0
24,17,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,0,0,0,3.804,0,0,1,0,0,0,0,0,0,0,0,4.75,10,1,0
29,21,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,1,0,0,3.762,0,0,1,0,0,0,0,0,0,0,0,6.0,13,0,1
30,22,0,0,2,0,0,2,0,25,5,0,0,0,0,0,1,1,0,0,3.873,0,0,1,0,0,0,0,0,0,0,0,6.25,15,0,1
34,26,0,0,4,0,0,2,0,27,7,0,0,0,0,0,3,1,0,0,3.889,0,0,1,0,0,0,0,0,0,0,0,4.5,11,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.777,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
37,29,0,0,2,0,0,2,0,32,5,0,0,0,0,0,1,1,0,0,4.101,0,0,1,0,0,0,0,0,0,0,0,8.0,20,0,1
38,29,1,0,2,1,0,3,0,31,7,0,0,0,0,0,1,1,0,1,4.149,0,0,1,0,0,0,0,0,0,0,0,6.2,11,0,0
33,26,0,0,3,1,0,2,2,24,7,0,0,0,0,0,2,0,0,0,4.37,0,0,1,0,0,0,0,0,0,0,0,4.0,7,0,0
27,18,1,0,2,1,0,3,4,16,7,0,0,0,0,0,1,1,0,1,4.106,0,0,1,0,0,0,0,0,0,0,0,3.2,5,0,0
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.88,0,0,1,0,0,0,0,0,0,0,0,4.25,6,0,1
92,7,52,24,2,0,0,4,7,75,10,1,1,1,0,0,0,1,0,2,4.843,0,0,1,0,0,0,0,0,0,0,2,5.0,11,0,0
40,32,1,0,2,2,0,3,12,20,8,0,0,0,0,0,1,0,0,1,4.275,0,0,1,0,0,0,0,0,0,0,0,5.0,10,0,0
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.974,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
35,26,1,0,2,0,0,3,2,27,6,0,0,0,0,0,1,1,0,1,4.343,0,0,1,0,0,0,0,0,0,0,0,4.5,11,0,0
24,16,0,0,3,0,0,2,0,18,6,0,0,0,0,0,2,1,0,0,3.939,0,0,1,0,0,0,0,0,0,0,0,3.6,6,0,1
33,25,0,0,2,0,0,2,0,28,5,0,0,0,0,0,1,1,0,0,3.934,0,0,1,0,0,0,0,0,0,0,0,7.0,17,0,1
20,13,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,0,0,0,3.546,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,0
20,12,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,1,0,0,3.584,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,1
28,21,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,0,0,0,4.111,0,0,1,0,0,0,0,0,0,0,0,5.75,13,0,0
28,21,0,0,3,0,0,2,0,22,6,0,0,0,0,0,2,0,0,0,3.798,0,0,1,0,0,0,0,0,0,0,0,4.4,6,1,0
33,24,1,0,2,1,0,3,2,24,7,0,0,0,0,0,1,1,0,1,4.021,0,0,1,0,0,0,0,0,0,0,0,4.0,10,0,0
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.943,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
30,22,0,0,2,0,0,2,0,25,5,0,0,0,0,0,1,1,0,0,3.682,0,0,1,0,0,0,0,0,0,0,0,6.25,15,0,1
42,33,1,0,2,3,0,3,3,30,9,0,0,0,0,0,1,1,0,1,4.207,0,0,1,0,0,0,0,0,0,0,0,4.29,11,0,0
140,23,11,97,1,2,4,6,19,104,17,0,1,2,0,0,0,1,0,4,5.065,0,0,1,0,0,0,0,0,0,0,3,4.52,19,0,0
28,20,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,1,0,0,3.852,0,0,1,0,0,0,0,0,0,0,0,5.75,12,0,1
28,20,0,0,3,0,0,2,0,22,6,0,0,0,0,0,2,1,0,0,3.941,0,0,1,0,0,0,0,0,0,0,0,4.4,9,0,1
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.734,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
23,16,0,0,2,0,0,2,0,18,5,0,0,0,0,0,1,0,0,0,3.762,0,0,1,0,0,0,0,0,0,0,0,4.5,6,0,0
35,26,1,0,2,1,0,3,6,22,7,0,0,0,0,0,1,1,0,1,4.115,0,0,1,0,0,0,0,0,0,0,0,5.5,12,0,0
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.654,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
32,23,1,0,1,0,0,3,0,27,5,0,0,0,0,0,0,1,0,1,3.941,0,0,1,0,0,0,0,0,0,0,0,9.0,19,0,0
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.767,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
25,18,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,0,0,0,3.943,0,0,1,0,0,0,0,0,0,0,0,5.0,10,0,0
20,12,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,1,0,0,3.584,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,4.06,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
37,12,17,0,1,0,0,4,4,27,6,0,0,0,0,0,0,1,0,2,4.27,0,0,1,0,0,0,0,0,0,0,2,4.5,6,0,0
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.88,0,0,1,0,0,0,0,0,0,0,0,4.25,6,0,1
31,22,1,0,2,1,0,3,1,23,7,0,0,0,0,0,1,1,0,1,3.978,0,0,1,0,0,0,0,0,0,0,0,3.83,6,0,0
31,24,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,0,0,0,3.849,0,0,1,0,0,0,0,0,0,0,0,6.5,16,0,0
36,28,0,0,3,0,0,2,0,30,6,0,0,0,0,0,2,1,0,0,4.051,0,0,1,0,0,0,0,0,0,0,0,6.0,17,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.873,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
18,10,0,0,2,0,0,2,0,13,5,0,0,0,0,0,1,1,0,0,3.044,0,0,1,0,0,0,0,0,0,0,0,3.25,5,0,1
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.894,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.671,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.979,0,0,1,0,0,0,0,0,0,0,0,5.25,11,0,1
21,13,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,1,0,0,3.332,0,0,1,0,0,0,0,0,0,0,0,4.0,6,0,1
31,24,0,0,3,0,0,2,0,25,6,0,0,0,0,0,2,0,0,0,3.873,0,0,1,0,0,0,0,0,0,0,0,5.0,8,0,0
24,17,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,0,0,0,3.804,0,0,1,0,0,0,0,0,0,0,0,4.75,9,0,0
23,15,0,0,2,0,0,2,0,18,5,0,0,0,0,0,1,1,0,0,3.741,0,0,1,0,0,0,0,0,0,0,0,4.5,7,0,1
21,14,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,0,0,0,3.499,0,0,1,0,0,0,0,0,0,0,0,4.0,7,0,0
27,20,0,0,3,0,0,2,7,14,6,0,0,0,0,0,2,0,0,0,3.958,0,0,1,0,0,0,0,0,0,0,0,2.8,4,0,0
26,17,1,0,2,0,0,3,0,20,6,0,0,0,0,0,1,1,0,1,3.719,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,0
29,21,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,1,0,0,3.978,0,0,1,0,0,0,0,0,0,0,0,6.0,13,0,1
35,27,0,0,2,0,0,2,0,30,5,0,0,0,0,0,1,1,0,0,3.857,0,0,1,0,0,0,0,0,0,0,0,7.5,20,0,1
24,16,0,0,2,0,0,2,1,18,5,0,0,0,0,0,1,1,0,0,3.97,0,0,1,0,0,0,0,0,0,0,0,4.5,7,0,1
92,16,68,0,3,0,1,5,39,40,13,0,0,0,0,3,1,1,0,3,4.776,0,0,1,0,0,0,0,0,0,0,3,4.0,9,0,0
35,27,0,0,2,0,0,2,0,30,5,0,0,0,0,0,1,1,0,0,3.943,0,0,1,0,0,0,0,0,0,0,0,7.5,19,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,4.032,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
37,28,1,0,2,0,0,3,1,30,6,0,0,0,0,0,1,1,0,1,4.243,0,0,1,0,0,0,0,0,0,0,0,7.5,11,0,0
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,3.662,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
16,8,1,0,1,0,0,3,0,11,5,0,0,0,0,0,0,0,0,1,3.578,0,0,1,0,0,0,0,0,0,0,0,3.67,4,1,0
52,45,0,0,4,3,0,2,1,41,10,0,0,0,0,0,3,0,0,0,4.189,0,0,1,0,0,0,0,0,0,0,0,5.12,9,0,0
28,20,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,1,0,0,3.968,0,0,1,0,0,0,0,0,0,0,0,5.75,12,0,1
20,12,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,1,0,0,3.584,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,1
32,24,0,0,2,0,0,2,0,27,5,0,0,0,0,0,1,1,0,0,3.876,0,0,1,0,0,0,0,0,0,0,0,6.75,16,0,1
34,25,1,0,2,1,0,3,6,21,7,0,0,0,0,0,1,1,0,1,4.231,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,0
23,15,0,0,3,0,0,2,0,17,6,0,0,0,0,0,2,1,0,0,3.849,0,0,1,0,0,0,0,0,0,0,0,3.4,5,0,1
20,12,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,1,0,0,3.384,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.657,0,0,1,0,0,0,0,0,0,0,0,5.25,11,0,1
64,25,12,19,2,0,0,4,16,37,11,0,1,2,1,0,1,0,0,2,4.96,0,0,1,0,0,0,0,0,0,0,1,4.11,10,1,0
55,47,0,0,3,4,0,2,18,27,10,0,0,0,0,0,2,1,0,0,4.362,0,0,1,0,0,0,0,0,0,0,0,2.08,5,0,0
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.863,0,0,1,0,0,0,0,0,0,0,0,5.0,10,0,1
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.894,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
29,21,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,1,0,0,3.909,0,0,1,0,0,0,0,0,0,0,0,6.0,13,0,1
35,27,0,0,2,0,0,2,0,30,5,0,0,0,0,0,1,1,0,0,4.15,0,0,1,0,0,0,0,0,0,0,0,7.5,19,0,1
28,20,0,0,3,1,0,2,0,21,7,0,0,0,0,0,2,1,0,0,4.039,0,0,1,0,0,0,0,0,0,0,0,3.5,6,0,1
41,33,0,0,2,0,0,2,0,36,5,0,0,0,0,0,1,1,0,0,4.132,0,0,1,0,0,0,0,0,0,0,0,9.0,25,0,1
29,21,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,1,0,0,3.952,0,0,1,0,0,0,0,0,0,0,0,6.0,13,0,1
55,46,1,0,3,3,0,3,0,45,10,0,0,0,0,0,2,1,0,1,4.304,0,0,1,0,0,0,0,0,0,0,0,5.62,8,0,0
43,34,1,0,2,2,0,3,6,29,8,0,0,0,0,0,1,1,0,1,4.371,0,0,1,0,0,0,0,0,0,0,0,5.8,10,0,0
19,11,0,0,2,0,0,2,0,14,5,0,0,0,0,0,1,1,0,0,3.682,0,0,1,0,0,0,0,0,0,0,0,3.5,5,0,1
27,20,0,0,3,0,0,2,7,14,6,0,0,0,0,0,2,0,0,0,3.958,0,0,1,0,0,0,0,0,0,0,0,2.8,4,0,0
46,37,1,0,2,0,0,3,19,21,6,0,0,0,0,0,1,1,0,1,4.414,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,0
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,4.107,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
34,26,0,0,4,0,0,2,0,27,7,0,0,0,0,0,3,1,0,0,4.102,0,0,1,0,0,0,0,0,0,0,0,4.5,12,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.609,0,0,1,0,0,0,0,0,0,0,0,5.25,11,0,1
48,39,1,0,3,0,0,3,0,41,7,0,0,0,0,0,2,1,0,1,3.887,0,0,1,0,0,0,0,0,0,0,0,8.2,23,0,0
20,13,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,0,0,0,3.684,0,0,1,0,0,0,0,0,0,0,0,3.75,6,1,0
21,13,0,0,3,0,0,2,0,15,6,0,0,0,0,0,2,1,0,0,3.523,0,0,1,0,0,0,0,0,0,0,0,3.0,5,0,1
25,17,0,0,3,0,0,2,0,19,6,0,0,0,0,0,2,1,0,0,3.833,0,0,1,0,0,0,0,0,0,0,0,3.8,5,0,1
21,13,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,1,0,0,3.559,0,0,1,0,0,0,0,0,0,0,0,4.0,5,0,1
35,27,0,0,2,0,0,2,0,30,5,0,0,0,0,0,1,1,0,0,3.993,0,0,1,0,0,0,0,0,0,0,0,7.5,19,0,1
26,17,1,0,2,0,0,3,0,20,6,0,0,0,0,0,1,1,0,1,4.133,0,0,1,0,0,0,0,0,0,0,0,5.0,8,0,0
29,21,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,1,0,0,3.866,0,0,1,0,0,0,0,0,0,0,0,6.0,11,0,1
23,15,0,0,2,0,0,2,0,18,5,0,0,0,0,0,1,1,0,0,3.882,0,0,1,0,0,0,0,0,0,0,0,4.5,7,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,3.884,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,3.958,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
32,24,0,0,2,2,0,2,0,25,7,0,0,0,0,0,1,1,0,0,3.804,0,0,1,0,0,0,0,0,0,0,0,4.17,6,0,1
36,27,1,0,2,2,0,3,1,27,8,0,0,0,0,0,1,1,0,1,4.197,0,0,1,0,0,0,0,0,0,0,0,3.86,11,0,0
71,39,24,0,7,1,1,5,1,55,15,0,0,0,0,0,5,1,0,3,4.424,0,0,1,0,0,0,0,0,0,0,3,3.93,9,0,0
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.538,0,0,1,0,0,0,0,0,0,0,0,4.25,7,0,1
48,41,0,0,2,0,0,2,17,26,5,0,0,0,0,0,1,0,0,0,4.278,0,0,1,0,0,0,0,0,0,0,0,1.86,4,0,0
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,4.018,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
21,13,1,0,3,0,0,3,10,4,7,0,0,0,0,0,2,0,1,1,3.427,0,0,1,0,0,0,0,0,0,0,0,4.0,4,0,0
89,7,74,0,1,0,0,5,9,71,9,1,0,0,0,0,0,1,0,3,4.792,0,0,1,0,0,1,0,0,0,0,3,5.07,12,0,0
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,3.692,0,0,1,0,0,0,0,0,0,0,0,6.5,16,0,1
23,15,0,0,3,0,0,2,0,17,6,0,0,0,0,0,2,1,0,0,3.729,0,0,1,0,0,0,0,0,0,0,0,3.4,5,0,1
22,15,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,0,0,0,3.88,0,0,1,0,0,0,0,0,0,0,0,4.25,7,0,0
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.814,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
21,13,0,0,2,0,0,2,2,14,5,0,0,0,0,0,1,1,0,0,3.594,0,0,1,0,0,0,0,0,0,0,0,3.5,5,0,1
46,39,0,0,4,3,0,2,1,35,10,0,0,0,0,0,3,0,0,0,4.222,0,0,1,0,0,0,0,0,0,0,0,4.38,9,0,0
22,14,0,0,3,0,0,2,0,16,6,0,0,0,0,0,2,1,0,0,3.447,0,0,1,0,0,0,0,0,0,0,0,3.2,5,0,1
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,3.978,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
35,27,0,0,2,0,0,2,0,30,5,0,0,0,0,0,1,1,0,0,3.968,0,0,1,0,0,0,0,0,0,0,0,7.5,19,0,1
21,13,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,1,0,0,3.44,0,0,1,0,0,0,0,0,0,0,0,4.0,6,0,1
30,23,0,0,2,0,0,2,0,25,5,0,0,0,0,0,1,0,0,0,3.778,0,0,1,0,0,0,0,0,0,0,0,6.25,15,0,0
22,15,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,0,0,0,3.607,0,0,1,0,0,0,0,0,0,0,0,4.25,8,1,0
18,10,0,0,2,0,0,2,3,10,5,0,0,0,0,0,1,1,0,0,3.461,0,0,1,0,0,0,0,0,0,0,0,3.33,5,0,1
24,16,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,1,0,0,3.97,0,0,1,0,0,0,0,0,0,0,0,4.75,6,0,1
31,23,0,0,2,1,0,2,0,25,6,0,0,0,0,0,1,1,0,0,3.744,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
47,39,0,0,2,0,0,2,0,42,5,0,0,0,0,0,1,1,0,0,3.949,0,0,1,0,0,0,0,0,0,0,0,10.5,31,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.844,0,0,1,0,0,0,0,0,0,0,0,5.25,11,0,1
35,26,1,0,2,0,0,3,2,27,6,0,0,0,0,0,1,1,0,1,4.265,0,0,1,0,0,0,0,0,0,0,0,4.5,11,0,0
36,28,0,0,2,0,0,2,0,31,5,0,0,0,0,0,1,1,0,0,4.062,0,0,1,0,0,0,0,0,0,0,0,7.75,20,0,1
36,28,0,0,2,2,0,2,0,29,7,0,0,0,0,0,1,1,0,0,4.065,0,0,1,0,0,0,0,0,0,0,0,4.83,9,0,1
45,28,10,0,3,2,0,3,0,36,9,0,0,0,0,0,1,0,0,1,4.058,0,0,1,0,0,0,0,0,0,0,1,4.5,6,0,0
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,4.042,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
43,34,1,0,2,1,0,3,0,36,7,0,0,0,0,0,1,1,0,1,4.129,0,0,1,0,0,0,0,0,0,0,0,7.2,17,0,0
24,16,0,0,3,0,0,2,0,18,6,0,0,0,0,0,2,1,0,0,3.741,0,0,1,0,0,0,0,0,0,0,0,3.6,5,0,1
38,31,0,0,2,2,0,2,4,27,7,0,0,0,0,0,1,0,0,0,4.221,0,0,1,0,0,0,0,0,0,0,0,5.4,14,0,0
21,13,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,1,0,0,3.594,0,0,1,0,0,0,0,0,0,0,0,4.0,5,0,1
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.623,0,0,1,0,0,0,0,0,0,0,0,5.0,10,0,1
33,25,0,0,3,0,0,2,0,27,6,0,0,0,0,0,2,1,0,0,3.983,0,0,1,0,0,0,0,0,0,0,0,5.4,14,0,1
30,22,0,0,3,1,0,2,0,23,7,0,0,0,0,0,2,1,0,0,3.806,0,0,1,0,0,0,0,0,0,0,0,3.83,7,0,1
48,41,0,0,2,0,0,2,21,22,5,0,0,0,0,0,1,0,0,0,4.163,0,0,1,0,0,0,0,0,0,0,0,1.57,4,0,0
23,15,0,0,2,0,0,2,0,18,5,0,0,0,0,0,1,1,0,0,3.675,0,0,1,0,0,0,0,0,0,0,0,4.5,7,0,1
24,17,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,0,0,0,3.835,0,0,1,0,0,0,0,0,0,0,0,4.75,10,1,0
27,19,0,0,3,0,0,2,0,21,6,0,0,0,0,0,2,1,0,0,3.958,0,0,1,0,0,0,0,0,0,0,0,4.2,8,0,1
23,15,0,0,2,1,0,2,0,17,6,0,0,0,0,0,1,1,0,0,3.414,0,0,1,0,0,0,0,0,0,0,0,3.4,5,0,1
77,25,45,0,4,0,0,7,2,63,12,0,0,0,0,0,2,0,0,5,4.089,0,0,1,0,0,0,0,0,0,0,5,5.73,11,0,0
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.447,0,0,1,0,0,0,0,0,0,0,0,4.25,6,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.738,0,0,1,0,0,0,0,0,0,0,0,5.25,8,0,1
28,20,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,1,0,0,4.084,0,0,1,0,0,0,0,0,0,0,0,5.75,12,0,1
24,17,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,0,0,0,3.741,0,0,1,0,0,0,0,0,0,0,0,4.75,10,1,0
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,3.838,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
98,26,7,56,1,1,0,4,6,79,13,0,1,3,1,0,0,1,0,2,4.821,0,0,1,0,0,0,1,0,0,0,1,5.64,14,0,0
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,3.736,0,0,1,0,0,0,0,0,0,0,0,5.5,12,0,1
39,31,0,0,2,0,0,2,0,34,5,0,0,0,0,0,1,1,0,0,3.936,0,0,1,0,0,0,0,0,0,0,0,8.5,23,0,1
40,32,0,0,2,0,0,2,0,35,5,0,0,0,0,0,1,1,0,0,3.996,0,0,1,0,0,0,0,0,0,0,0,8.75,24,0,1
28,20,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,1,0,0,4.111,0,0,1,0,0,0,0,0,0,0,0,5.75,12,0,1
20,12,0,0,2,0,0,2,0,15,5,0,0,0,0,0,1,1,0,0,3.684,0,0,1,0,0,0,0,0,0,0,0,3.75,5,0,1
29,22,0,0,2,0,0,2,0,24,5,0,0,0,0,0,1,0,0,0,4.018,0,0,1,0,0,0,0,0,0,0,0,6.0,10,0,0
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.796,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,3.889,0,0,1,0,0,0,0,0,0,0,0,6.5,16,0,1
32,24,0,0,2,2,0,2,0,25,7,0,0,0,0,0,1,1,0,0,4.101,0,0,1,0,0,0,0,0,0,0,0,4.17,6,0,1
21,13,0,0,3,0,0,2,0,15,6,0,0,0,0,0,2,1,0,0,3.523,0,0,1,0,0,0,0,0,0,0,0,3.0,5,0,1
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,3.978,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
24,16,0,0,2,0,0,2,0,19,5,0,0,0,0,0,1,1,0,0,3.939,0,0,1,0,0,0,0,0,0,0,0,4.75,7,0,1
